id,age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,poutcome,deposit,contact,agegroup,email
1,59,admin.,married,secondary,no,23430,yes,no,5,may,1042,1,-1,0,unknown,yes,42314646484,Older,abcdef1@gmail.com
2,56,admin.,married,secondary,no,450,no,no,5,may,1467,1,-1,0,unknown,yes,42893579329,Middle age,abcdef2@gmail.com
3,41,technician,married,secondary,no,12700,yes,no,5,may,1389,1,-1,0,unknown,yes,34933006051,Middle age,abcdef3@gmail.com
4,55,services,married,secondary,no,24760,yes,no,5,may,579,1,-1,0,unknown,yes,50422853785,Middle age,abcdef4@gmail.com
5,54,admin.,married,tertiary,no,1840,no,no,5,may,673,2,-1,0,unknown,yes,20221235566,Middle age,abcdef5@gmail.com
6,42,management,single,tertiary,no,0,yes,yes,5,may,562,2,-1,0,unknown,yes,99899559120,Middle age,abcdef6@gmail.com
7,56,management,married,tertiary,no,8300,yes,yes,6,may,1201,1,-1,0,unknown,yes,51532317692,Middle age,abcdef7@gmail.com
8,60,retired,divorced,secondary,no,5450,yes,no,6,may,1030,1,-1,0,unknown,yes,49088342377,Older,abcdef8@gmail.com
9,37,technician,married,secondary,no,10,yes,no,6,may,608,1,-1,0,unknown,yes,9411071635,Adult,abcdef9@gmail.com
10,28,services,single,secondary,no,50900,yes,no,6,may,1297,3,-1,0,unknown,yes,73546488057,Adult,abcdef10@gmail.com
11,38,admin.,single,secondary,no,1000,yes,no,7,may,786,1,-1,0,unknown,yes,57187797818,Adult,abcdef11@gmail.com
12,30,blue-collar,married,secondary,no,3090,yes,no,7,may,1574,2,-1,0,unknown,yes,47908558233,Adult,abcdef12@gmail.com
13,29,management,married,tertiary,no,1990,yes,yes,7,may,1689,4,-1,0,unknown,yes,42008435105,Adult,abcdef13@gmail.com
14,46,blue-collar,single,tertiary,no,4600,yes,no,7,may,1102,2,-1,0,unknown,yes,12460027697,Middle age,abcdef14@gmail.com
15,31,technician,single,tertiary,no,7030,yes,no,8,may,943,2,-1,0,unknown,yes,55394449234,Adult,abcdef15@gmail.com
16,35,management,divorced,tertiary,no,38370,yes,no,8,may,1084,1,-1,0,unknown,yes,31130870952,Adult,abcdef16@gmail.com
17,32,blue-collar,single,primary,no,6110,yes,no,8,may,541,3,-1,0,unknown,yes,67870899082,Adult,abcdef17@gmail.com
18,49,services,married,secondary,no,-8,yes,no,8,may,1119,1,-1,0,unknown,yes,95455173104,Middle age,abcdef18@gmail.com
19,41,admin.,married,secondary,no,550,yes,no,8,may,1120,2,-1,0,unknown,yes,85396598687,Middle age,abcdef19@gmail.com
20,49,admin.,divorced,secondary,no,1680,yes,yes,8,may,513,1,-1,0,unknown,yes,97539615611,Middle age,abcdef20@gmail.com
21,28,admin.,divorced,secondary,no,7850,yes,no,8,may,442,2,-1,0,unknown,yes,39978392657,Adult,abcdef21@gmail.com
22,43,management,single,tertiary,no,20670,yes,no,8,may,756,1,-1,0,unknown,yes,19947612765,Middle age,abcdef22@gmail.com
23,43,management,divorced,tertiary,no,3880,yes,no,8,may,2087,2,-1,0,unknown,yes,4048979244,Middle age,abcdef23@gmail.com
24,43,blue-collar,married,primary,no,-192,yes,no,8,may,1120,2,-1,0,unknown,yes,42347925044,Middle age,abcdef24@gmail.com
25,37,unemployed,single,secondary,no,3810,yes,no,8,may,985,2,-1,0,unknown,yes,58769465558,Adult,abcdef25@gmail.com
26,35,blue-collar,single,secondary,no,400,yes,no,9,may,617,4,-1,0,unknown,yes,71605053061,Adult,abcdef26@gmail.com
27,31,technician,single,tertiary,no,220,yes,no,9,may,483,3,-1,0,unknown,yes,65316127099,Adult,abcdef27@gmail.com
28,43,blue-collar,single,secondary,no,30,yes,no,9,may,929,3,-1,0,unknown,yes,53677466379,Middle age,abcdef28@gmail.com
29,31,admin.,married,secondary,no,3070,yes,no,9,may,538,1,-1,0,unknown,yes,70113329250,Adult,abcdef29@gmail.com
30,28,blue-collar,single,secondary,no,7590,yes,no,9,may,710,1,-1,0,unknown,yes,49743700346,Adult,abcdef30@gmail.com
31,32,blue-collar,married,secondary,yes,-1,yes,no,9,may,653,1,-1,0,unknown,yes,20177243136,Adult,abcdef31@gmail.com
32,60,technician,married,primary,no,650,yes,no,9,may,1028,2,-1,0,unknown,yes,8107259341,Older,abcdef32@gmail.com
33,26,blue-collar,single,secondary,no,820,yes,no,9,may,654,1,-1,0,unknown,yes,56925661679,Adult,abcdef33@gmail.com
34,40,blue-collar,married,secondary,no,100,yes,no,9,may,1692,2,-1,0,unknown,yes,7650132264,Adult,abcdef34@gmail.com
35,33,blue-collar,divorced,primary,no,3900,yes,no,9,may,665,2,-1,0,unknown,yes,25938601334,Adult,abcdef35@gmail.com
36,32,management,single,tertiary,no,3110,no,no,12,may,757,2,-1,0,unknown,yes,49785742481,Adult,abcdef36@gmail.com
37,35,blue-collar,married,primary,no,4140,no,no,13,may,504,4,-1,0,unknown,yes,77439813840,Adult,abcdef37@gmail.com
38,33,management,divorced,secondary,no,50,yes,no,13,may,1346,1,-1,0,unknown,yes,29233459446,Adult,abcdef38@gmail.com
39,38,management,married,tertiary,no,1190,yes,no,13,may,568,4,-1,0,unknown,yes,47683140684,Adult,abcdef39@gmail.com
40,23,entrepreneur,single,primary,no,40,yes,no,13,may,395,2,-1,0,unknown,yes,53906901273,Adult,abcdef40@gmail.com
41,60,blue-collar,married,primary,no,12620,yes,yes,13,may,1015,1,-1,0,unknown,yes,59712621089,Older,abcdef41@gmail.com
42,48,management,married,tertiary,no,19490,yes,no,13,may,683,2,-1,0,unknown,yes,86934675031,Middle age,abcdef42@gmail.com
43,45,entrepreneur,divorced,tertiary,no,-395,yes,no,13,may,470,1,-1,0,unknown,yes,98374618326,Middle age,abcdef43@gmail.com
44,36,blue-collar,married,secondary,no,11650,yes,no,13,may,1001,4,-1,0,unknown,yes,39626104832,Adult,abcdef44@gmail.com
45,52,management,married,unknown,no,22400,yes,no,13,may,845,1,-1,0,unknown,yes,13859269586,Middle age,abcdef45@gmail.com
46,35,blue-collar,divorced,primary,no,3000,yes,no,13,may,945,2,-1,0,unknown,yes,5844597550,Adult,abcdef46@gmail.com
47,43,technician,married,secondary,no,32850,yes,no,13,may,1721,2,-1,0,unknown,yes,91865863357,Middle age,abcdef47@gmail.com
48,52,housemaid,married,secondary,no,39230,yes,no,14,may,942,3,-1,0,unknown,yes,76197181474,Middle age,abcdef48@gmail.com
49,53,technician,divorced,primary,no,14430,yes,no,14,may,476,1,-1,0,unknown,yes,35027124119,Middle age,abcdef49@gmail.com
50,48,blue-collar,divorced,primary,no,240,yes,no,14,may,832,1,-1,0,unknown,yes,50716502782,Middle age,abcdef50@gmail.com
51,41,blue-collar,single,primary,no,16180,yes,no,14,may,1553,1,-1,0,unknown,yes,45226021594,Middle age,abcdef51@gmail.com
52,39,management,divorced,tertiary,no,5170,yes,yes,14,may,1328,1,-1,0,unknown,yes,91985835070,Adult,abcdef52@gmail.com
53,59,retired,married,secondary,no,15210,yes,yes,14,may,1125,2,-1,0,unknown,yes,84532606495,Older,abcdef53@gmail.com
54,41,blue-collar,married,secondary,no,28230,yes,no,14,may,858,1,-1,0,unknown,yes,61913202552,Middle age,abcdef54@gmail.com
55,48,blue-collar,married,secondary,no,14050,yes,no,14,may,629,2,-1,0,unknown,yes,95099980264,Middle age,abcdef55@gmail.com
56,40,admin.,married,secondary,no,15350,yes,no,14,may,704,1,-1,0,unknown,yes,74333714486,Adult,abcdef56@gmail.com
57,48,blue-collar,married,secondary,no,15960,yes,no,14,may,760,1,-1,0,unknown,yes,92940405836,Middle age,abcdef57@gmail.com
58,60,retired,married,primary,no,15420,yes,no,14,may,930,1,-1,0,unknown,yes,62561098465,Older,abcdef58@gmail.com
