"","To","Bcc","From","Subject","body","marketing","datetime"
"1","abcdef238@gmail.com","Anonymous <blutech.testing@gmail.com>","<blutech.testing@gmail.com>","Housing Loan Offer","jado","Housing Loan","06/19/18 12:22:51 PM"
"2","abcdef248@gmail.com","Anonymous <blutech.testing@gmail.com>","<blutech.testing@gmail.com>","Housing Loan Offer","jado","Housing Loan","06/19/18 12:22:51 PM"
"3","abcdef265@gmail.com","Anonymous <blutech.testing@gmail.com>","<blutech.testing@gmail.com>","Housing Loan Offer","jado","Housing Loan","06/19/18 12:22:51 PM"
"4","abcdef275@gmail.com","Anonymous <blutech.testing@gmail.com>","<blutech.testing@gmail.com>","Housing Loan Offer","jado","Housing Loan","06/19/18 12:22:51 PM"
"5","abcdef282@gmail.com","Anonymous <blutech.testing@gmail.com>","<blutech.testing@gmail.com>","Housing Loan Offer","jado","Housing Loan","06/19/18 12:22:51 PM"
"6","abcdef292@gmail.com","Anonymous <blutech.testing@gmail.com>","<blutech.testing@gmail.com>","Housing Loan Offer","jado","Housing Loan","06/19/18 12:22:51 PM"
"7","abcdef307@gmail.com","Anonymous <blutech.testing@gmail.com>","<blutech.testing@gmail.com>","Housing Loan Offer","jado","Housing Loan","06/19/18 12:22:51 PM"
"8","abcdef318@gmail.com","Anonymous <blutech.testing@gmail.com>","<blutech.testing@gmail.com>","Housing Loan Offer","jado","Housing Loan","06/19/18 12:22:51 PM"
"9","abcdef324@gmail.com","Anonymous <blutech.testing@gmail.com>","<blutech.testing@gmail.com>","Housing Loan Offer","jado","Housing Loan","06/19/18 12:22:51 PM"
"10","abcdef417@gmail.com","Anonymous <blutech.testing@gmail.com>","<blutech.testing@gmail.com>","Housing Loan Offer","jado","Housing Loan","06/19/18 12:22:51 PM"
